id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
1,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0
2,female,group C,some college,standard,completed,69.0,90.0,88.0
3,female,group B,master's degree,standard,none,90.0,95.0,93.0
4,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0
5,male,group C,some college,standard,none,76.0,78.0,75.0
6,female,group B,associate's degree,standard,none,71.0,83.0,78.0
7,female,group B,some college,standard,completed,88.0,95.0,92.0
8,male,group B,some college,free/reduced,none,40.0,43.0,39.0
9,male,group D,high school,free/reduced,completed,64.0,64.0,67.0
10,female,group B,high school,free/reduced,none,38.0,60.0,50.0
11,male,group C,associate's degree,standard,none,58.0,54.0,52.0
12,male,group D,associate's degree,standard,none,40.0,52.0,43.0
13,female,group B,high school,standard,none,65.0,81.0,73.0
14,male,group A,some college,standard,completed,78.0,72.0,70.0
15,female,group A,master's degree,standard,none,50.0,53.0,58.0
16,female,group C,some high school,standard,none,69.0,75.0,78.0
17,male,group C,high school,standard,none,88.0,89.0,86.0
18,female,group B,some high school,free/reduced,none,18.0,32.0,28.0
19,male,group C,master's degree,free/reduced,completed,46.0,42.0,46.0
20,female,group C,associate's degree,free/reduced,none,54.0,58.0,61.0
21,male,group D,high school,standard,none,66.0,69.0,63.0
22,female,group B,some college,free/reduced,completed,65.0,75.0,70.0
23,male,group D,some college,standard,none,44.0,54.0,53.0
24,female,group C,some high school,standard,none,69.0,73.0,73.0
25,male,group D,bachelor's degree,free/reduced,completed,74.0,71.0,80.0
26,male,group A,master's degree,free/reduced,none,73.0,74.0,72.0
27,male,group B,some college,standard,none,69.0,54.0,55.0
28,female,group C,bachelor's degree,standard,none,67.0,69.0,75.0
29,male,group C,high school,standard,none,70.0,70.0,65.0
30,female,group D,master's degree,standard,none,62.0,70.0,75.0
31,female,group D,some college,standard,none,69.0,74.0,74.0
32,female,group B,some college,standard,none,63.0,65.0,61.0
33,female,group E,master's degree,free/reduced,none,56.0,72.0,65.0
34,male,group D,some college,standard,none,40.0,42.0,38.0
35,male,group E,some college,standard,none,97.0,87.0,82.0
36,male,group E,associate's degree,standard,completed,81.0,81.0,79.0
37,female,group D,associate's degree,standard,none,74.0,81.0,83.0
38,female,group D,some high school,free/reduced,none,50.0,64.0,59.0
39,female,group D,associate's degree,free/reduced,completed,75.0,90.0,88.0
40,male,group B,associate's degree,free/reduced,none,57.0,56.0,57.0
41,male,group C,associate's degree,free/reduced,none,55.0,61.0,54.0
42,female,group C,associate's degree,standard,none,58.0,73.0,68.0
43,female,group B,associate's degree,standard,none,53.0,58.0,65.0
44,male,group B,some college,free/reduced,completed,59.0,65.0,66.0
45,female,group E,associate's degree,free/reduced,none,50.0,56.0,54.0
46,male,group B,associate's degree,standard,none,65.0,54.0,57.0
47,female,group A,associate's degree,standard,completed,55.0,65.0,62.0
48,female,group C,high school,standard,none,66.0,71.0,76.0
49,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0
50,male,group C,high school,standard,completed,82.0,84.0,82.0
51,male,group E,some college,standard,none,53.0,55.0,48.0
52,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
53,male,group C,some college,standard,none,53.0,44.0,42.0
54,male,group D,high school,standard,none,88.0,78.0,75.0
55,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
56,female,group C,high school,free/reduced,none,33.0,41.0,43.0
57,female,group E,associate's degree,standard,completed,82.0,85.0,86.0
58,male,group D,associate's degree,standard,none,52.0,55.0,49.0
59,male,group D,some college,standard,completed,58.0,59.0,58.0
60,female,group C,some high school,free/reduced,none,0.0,17.0,10.0
61,male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0
62,male,group A,some high school,free/reduced,none,39.0,39.0,34.0
63,male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0
64,female,group C,associate's degree,standard,none,69.0,80.0,71.0
65,female,group D,some high school,standard,none,59.0,58.0,59.0
66,male,group B,some high school,standard,none,67.0,64.0,61.0
67,male,group D,some high school,free/reduced,none,45.0,37.0,37.0
68,female,group C,some college,standard,none,60.0,72.0,74.0
69,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0
70,female,group C,associate's degree,standard,none,39.0,64.0,57.0
71,female,group D,some college,free/reduced,completed,58.0,63.0,73.0
72,male,group D,some college,standard,completed,63.0,55.0,63.0
73,female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0
74,male,group C,some high school,free/reduced,none,61.0,57.0,56.0
