id,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
536,female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83.0
697,female,group C,associate's degree,standard,completed,75.0,82.0,90.0
558,male,group C,master's degree,free/reduced,none,61.0,67.0,66.0
644,female,group E,high school,standard,completed,74.0,79.0,80.0
598,male,group A,some high school,standard,none,53.0,54.0,48.0
166,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0
920,male,group B,some college,standard,completed,91.0,96.0,91.0
496,male,group D,high school,standard,completed,68.0,64.0,66.0
826,male,group C,high school,standard,none,62.0,67.0,58.0
66,male,group B,some high school,standard,none,67.0,64.0,61.0
142,female,group C,some college,free/reduced,none,59.0,62.0,64.0
927,male,group E,associate's degree,free/reduced,none,64.0,56.0,52.0
829,female,group D,some high school,free/reduced,completed,69.0,86.0,81.0
657,male,group C,associate's degree,free/reduced,none,77.0,67.0,64.0
332,male,group C,associate's degree,standard,none,47.0,37.0,35.0
666,female,group C,some high school,free/reduced,completed,50.0,60.0,60.0
250,male,group C,high school,standard,none,68.0,60.0,53.0
909,female,group C,bachelor's degree,free/reduced,none,67.0,75.0,72.0
945,female,group B,high school,standard,none,58.0,68.0,61.0
306,male,group A,some college,standard,none,69.0,67.0,69.0
731,female,group B,associate's degree,free/reduced,completed,68.0,77.0,80.0
977,male,group B,some college,free/reduced,completed,60.0,62.0,60.0
50,male,group C,high school,standard,completed,82.0,84.0,82.0
847,male,group C,master's degree,standard,completed,91.0,85.0,85.0
3,female,group B,master's degree,standard,none,90.0,95.0,93.0
545,female,group D,master's degree,standard,none,64.0,63.0,66.0
351,female,group B,bachelor's degree,standard,none,52.0,65.0,69.0
906,male,group D,some college,standard,none,88.0,77.0,77.0
537,male,group C,associate's degree,standard,completed,51.0,60.0,58.0
345,male,group D,some college,standard,none,79.0,73.0,67.0
996,female,group E,master's degree,standard,completed,88.0,99.0,95.0
482,female,group D,associate's degree,free/reduced,none,52.0,59.0,56.0
577,male,group A,some college,standard,completed,61.0,51.0,52.0
34,male,group D,some college,standard,none,40.0,42.0,38.0
32,female,group B,some college,standard,none,63.0,65.0,61.0
232,male,group C,associate's degree,standard,none,46.0,43.0,42.0
815,female,group C,high school,standard,none,72.0,80.0,83.0
193,female,group B,some high school,standard,none,62.0,64.0,66.0
334,male,group B,associate's degree,standard,none,90.0,78.0,81.0
4,male,group A,associate's degree,free/reduced,none,47.0,57.0,44.0
205,male,group C,some college,standard,none,59.0,41.0,42.0
515,female,group B,master's degree,free/reduced,completed,77.0,97.0,94.0
824,female,group B,high school,free/reduced,none,71.0,87.0,82.0
307,male,group E,some college,standard,completed,99.0,87.0,81.0
110,female,group B,some high school,standard,none,70.0,64.0,72.0
431,male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0
78,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0
85,male,group D,high school,free/reduced,none,42.0,39.0,34.0
287,male,group E,associate's degree,standard,completed,97.0,82.0,88.0
83,male,group A,some college,free/reduced,completed,50.0,47.0,54.0
616,female,group C,high school,standard,none,60.0,68.0,72.0
791,female,group B,high school,standard,none,48.0,62.0,60.0
747,male,group D,high school,standard,none,69.0,75.0,71.0
399,male,group B,some high school,standard,none,74.0,63.0,57.0
324,female,group C,some high school,free/reduced,none,43.0,53.0,53.0
520,female,group B,high school,free/reduced,completed,67.0,78.0,79.0
918,female,group C,high school,standard,none,44.0,61.0,52.0
934,male,group C,bachelor's degree,free/reduced,completed,70.0,75.0,74.0
6,female,group B,associate's degree,standard,none,71.0,83.0,78.0
733,female,group C,some college,standard,completed,87.0,89.0,94.0
466,female,group C,some college,standard,none,84.0,87.0,91.0
98,female,group E,some college,standard,completed,63.0,72.0,70.0
267,female,group C,bachelor's degree,standard,none,63.0,75.0,81.0
358,female,group C,some college,free/reduced,completed,42.0,66.0,69.0
870,male,group C,associate's degree,free/reduced,none,49.0,51.0,51.0
944,male,group A,some high school,free/reduced,completed,61.0,62.0,61.0
381,female,group B,associate's degree,standard,none,80.0,86.0,83.0
972,male,group C,some high school,standard,completed,78.0,72.0,69.0
382,male,group C,associate's degree,standard,completed,87.0,100.0,95.0
491,female,group A,associate's degree,free/reduced,none,65.0,85.0,76.0
119,female,group D,some high school,standard,none,51.0,63.0,61.0
817,female,group A,bachelor's degree,standard,none,45.0,59.0,64.0
251,male,group A,some high school,standard,completed,47.0,49.0,49.0
524,male,group C,master's degree,free/reduced,none,54.0,59.0,50.0
10,female,group B,high school,free/reduced,none,38.0,60.0,50.0
197,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0
605,male,group D,master's degree,free/reduced,completed,84.0,89.0,90.0
82,male,group B,high school,free/reduced,none,49.0,45.0,45.0
785,male,group C,bachelor's degree,standard,completed,91.0,81.0,79.0
589,female,group C,some college,standard,none,54.0,64.0,65.0
621,female,group C,high school,free/reduced,none,35.0,61.0,54.0
240,male,group C,associate's degree,standard,none,84.0,80.0,80.0
291,male,group C,associate's degree,standard,none,76.0,70.0,68.0
212,male,group C,some college,free/reduced,none,35.0,28.0,27.0
719,female,group C,high school,standard,none,76.0,76.0,74.0
360,female,group D,some college,standard,none,80.0,90.0,89.0
450,male,group B,associate's degree,standard,none,81.0,73.0,72.0
228,male,group D,high school,standard,none,57.0,50.0,54.0
858,female,group C,bachelor's degree,standard,none,65.0,79.0,81.0
948,female,group D,some college,free/reduced,none,49.0,58.0,60.0
798,female,group E,associate's degree,free/reduced,none,70.0,84.0,81.0
502,female,group B,associate's degree,standard,completed,94.0,87.0,92.0
465,male,group A,bachelor's degree,standard,completed,75.0,58.0,62.0
363,female,group C,some college,standard,none,52.0,58.0,58.0
469,female,group A,high school,free/reduced,completed,77.0,88.0,85.0
937,male,group A,associate's degree,standard,none,67.0,57.0,53.0
429,male,group A,some high school,free/reduced,none,65.0,59.0,53.0
8,male,group B,some college,free/reduced,none,40.0,43.0,39.0
156,female,group C,some college,standard,completed,70.0,89.0,88.0
542,male,group D,associate's degree,free/reduced,completed,79.0,82.0,80.0
441,female,group C,some college,standard,completed,67.0,81.0,79.0
483,male,group C,some college,free/reduced,none,68.0,68.0,61.0
423,female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0
853,female,group E,some college,standard,none,87.0,85.0,93.0
951,male,group E,high school,standard,none,94.0,73.0,71.0
335,female,group C,bachelor's degree,standard,none,83.0,93.0,95.0
804,female,group B,some college,standard,none,82.0,85.0,87.0
936,male,group D,some college,free/reduced,none,70.0,63.0,58.0
568,female,group D,master's degree,free/reduced,completed,61.0,71.0,78.0
596,female,group C,bachelor's degree,standard,completed,56.0,79.0,72.0
531,female,group C,associate's degree,standard,completed,68.0,67.0,73.0
583,female,group D,bachelor's degree,free/reduced,none,63.0,73.0,78.0
709,male,group D,high school,standard,none,89.0,87.0,79.0
449,male,group B,high school,standard,none,47.0,46.0,42.0
454,male,group C,some college,free/reduced,none,65.0,58.0,49.0
229,male,group A,some high school,free/reduced,none,68.0,72.0,64.0
353,female,group C,some college,standard,completed,63.0,78.0,80.0
744,female,group C,associate's degree,standard,completed,59.0,73.0,72.0
213,female,group C,high school,free/reduced,none,42.0,62.0,60.0
80,female,group E,master's degree,standard,none,62.0,68.0,68.0
149,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0
303,female,group C,associate's degree,standard,completed,67.0,84.0,81.0
630,female,group C,some high school,standard,completed,44.0,51.0,55.0
779,female,group A,some college,standard,completed,72.0,79.0,82.0
507,male,group A,high school,standard,none,68.0,70.0,66.0
343,female,group B,high school,standard,completed,69.0,76.0,74.0
486,male,group C,high school,standard,none,70.0,74.0,71.0
661,male,group C,some college,free/reduced,none,74.0,77.0,73.0
134,female,group C,some college,standard,completed,75.0,81.0,84.0
705,female,group B,some high school,free/reduced,completed,59.0,63.0,64.0
312,male,group B,bachelor's degree,standard,none,66.0,60.0,57.0
766,female,group B,high school,standard,none,74.0,72.0,72.0
631,male,group D,some college,standard,none,67.0,64.0,70.0
1,female,group B,bachelor's degree,standard,none,72.0,72.0,74.0
317,female,group D,master's degree,standard,completed,77.0,82.0,91.0
708,male,group C,some college,standard,none,66.0,59.0,52.0
548,male,group C,high school,standard,completed,72.0,67.0,64.0
874,male,group E,associate's degree,free/reduced,none,90.0,90.0,82.0
533,male,group E,associate's degree,standard,completed,62.0,61.0,58.0
478,male,group D,associate's degree,standard,none,80.0,68.0,72.0
405,female,group C,high school,standard,none,54.0,59.0,62.0
173,female,group D,some college,standard,none,79.0,86.0,81.0
126,female,group B,high school,standard,none,87.0,95.0,86.0
395,female,group C,some high school,standard,completed,65.0,74.0,77.0
421,female,group C,associate's degree,free/reduced,completed,82.0,93.0,93.0
553,female,group B,associate's degree,standard,none,40.0,48.0,50.0
905,female,group D,some high school,free/reduced,none,67.0,84.0,84.0
91,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0
941,male,group C,master's degree,free/reduced,completed,72.0,66.0,72.0
182,female,group C,some college,free/reduced,none,46.0,64.0,66.0
275,male,group B,some college,standard,completed,88.0,85.0,76.0
897,male,group B,high school,free/reduced,none,36.0,29.0,27.0
70,female,group C,associate's degree,standard,none,39.0,64.0,57.0
292,male,group D,some high school,standard,none,86.0,73.0,70.0
132,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0
301,male,group A,some college,free/reduced,completed,81.0,78.0,81.0
425,male,group B,some college,free/reduced,none,41.0,39.0,34.0
327,male,group C,some college,standard,none,61.0,61.0,62.0
145,male,group D,some college,standard,none,88.0,73.0,78.0
424,female,group A,some high school,standard,completed,59.0,85.0,80.0
582,female,group E,some high school,standard,none,77.0,79.0,80.0
136,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0
451,female,group C,some college,free/reduced,completed,64.0,85.0,85.0
165,female,group E,master's degree,standard,none,81.0,92.0,91.0
29,male,group C,high school,standard,none,70.0,70.0,65.0
910,male,group E,bachelor's degree,standard,completed,70.0,64.0,70.0
194,male,group D,some college,standard,completed,77.0,62.0,62.0
389,female,group D,high school,standard,none,62.0,64.0,64.0
639,male,group E,some college,standard,none,86.0,76.0,74.0
170,female,group C,some college,free/reduced,completed,67.0,75.0,70.0
707,male,group D,high school,standard,none,46.0,34.0,36.0
141,female,group D,some high school,standard,none,76.0,72.0,71.0
174,female,group C,associate's degree,standard,none,63.0,67.0,70.0
7,female,group B,some college,standard,completed,88.0,95.0,92.0
838,female,group A,high school,standard,completed,75.0,82.0,79.0
479,female,group D,master's degree,standard,none,55.0,64.0,70.0
74,male,group C,some high school,free/reduced,none,61.0,57.0,56.0
685,male,group B,some college,standard,completed,62.0,66.0,68.0
957,male,group C,some college,standard,none,84.0,87.0,81.0
239,male,group B,some college,standard,none,54.0,52.0,51.0
146,female,group C,some college,free/reduced,none,22.0,39.0,33.0
794,male,group E,some high school,standard,completed,89.0,84.0,77.0
235,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0
221,female,group D,high school,standard,completed,56.0,68.0,74.0
925,male,group D,high school,free/reduced,none,74.0,70.0,69.0
501,female,group D,master's degree,standard,none,74.0,79.0,82.0
133,male,group E,some college,free/reduced,completed,87.0,74.0,70.0
992,female,group B,some high school,standard,completed,65.0,82.0,78.0
924,female,group B,associate's degree,free/reduced,none,54.0,65.0,65.0
186,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0
42,female,group C,associate's degree,standard,none,58.0,73.0,68.0
612,female,group C,some college,standard,none,58.0,59.0,66.0
